date,text,actor1,actor2,label,fatalities,source,event_type,location
2015-05-23,"Riots event between Rioters (Bangladesh) and Rioters (Bangladesh) in Pagla, Bangladesh: On 23 May 2015, two persons were killed and three others injured in a clash over land dispute at Sheuly village under Pagla Police Station (Gaffargaon upazila, Mymensingh).",Rioters (Bangladesh),Rioters (Bangladesh),0,2,acled,Riots,Pagla
2015-05-23,"Violence against civilians event between Agar Clan Militia (South Sudan) and Civilians (South Sudan) in Rumbek, South Sudan: On 23 May 2015, a secondary school student from the Ruop section of the Agar Dinka was killed by 'Ajang' militia (presumed to be Agar Dinka) at an unspecified location in Rumbek Centre county (Lakes state), in what is described as a revenge killing.",Agar Clan Militia (South Sudan),Civilians (South Sudan),1,1,acled,Violence against civilians,Rumbek
2015-05-23,"Violence against civilians event between Ruop-Agar Sub-Clan Militia (South Sudan) and Civilians (South Sudan) in Rumbek, South Sudan: On 23 May 2015, a member of the 'Ajang' community (presumed to be Agar Dinka) was killed by militia from the Ruop section of the Agar Dinka at an unspecified location in Rumbek Centre county (Lakes state), for unclear reasons.",Ruop-Agar Sub-Clan Militia (South Sudan),Civilians (South Sudan),1,1,acled,Violence against civilians,Rumbek
2015-05-23,"Explosions/Remote violence event between Operation Restoring Hope and  in Bayt al Ahmar, Yemen: On 23 May 2015, coalition airstrikes reportedly targeted a House belonging to former president Ali Saleh in Al-Ahmar village, as well as Al-Sawad, Raymah Humaid and Dhabwah military camps in Sanhan district.",Operation Restoring Hope,,1,0,acled,Explosions/Remote violence,Bayt al Ahmar
2015-05-23,"Explosions/Remote violence event between Military Forces of Libya (2014-) Haftar Faction and Ansar al-Sharia (Libya) in Benghazi, Libya: An Egyptian worker was killed during shelling Saturday in the Libyan city of Benghazi, which witnessed fighting between Islamist militias and forces of the internationally-recognised government.",Military Forces of Libya (2014-) Haftar Faction,Ansar al-Sharia (Libya),1,1,acled,Explosions/Remote violence,Benghazi
2015-05-23,"Protests event between Protesters (Uganda) and  in Kabale, Uganda: After the arrest of UNATUs Chairperson, hundreds of teachers stormed the police station.",Protesters (Uganda),,0,0,acled,Protests,Kabale
2015-05-23,"Battles event between Police Forces of Libya (2014-2016) and Unidentified Armed Group (Libya) in Sabha, Libya: A policeman sustained injuries after being shot as he drove past an unofficial checkpoint set up by an armed group near the entrance to Sebha Airport.",Police Forces of Libya (2014-2016),Unidentified Armed Group (Libya),1,0,acled,Battles,Sabha
2015-05-23,"Violence against civilians event between Unidentified Armed Group (Libya) and Civilians (Libya) in Sabha, Libya: Gunman shot and killed a man and wounded another in a drive-by shooting in the south of Sebha.",Unidentified Armed Group (Libya),Civilians (Libya),1,1,acled,Violence against civilians,Sabha
2015-05-23,"Explosions/Remote violence event between Operation Restoring Hope and Military Forces of Yemen (2015-2017) Houthi-Saleh in Al Jabanah, Yemen: Coalition airstrikes hit a Houthi convoy in al Jabanah, Bajil district.",Operation Restoring Hope,Military Forces of Yemen (2015-2017) Houthi-Saleh,1,0,acled,Explosions/Remote violence,Al Jabanah
2015-05-23,"Explosions/Remote violence event between Operation Restoring Hope and Military Forces of Yemen (2015-2017) Houthi-Saleh in Bajil, Yemen: Saudi war jets targeted the historic castle of Bajil in Hodeida governorate with series of air strikes, and attacked again Dhain Mount in Amran governorate, and Mirzaq area in Hajjah governorate.",Operation Restoring Hope,Military Forces of Yemen (2015-2017) Houthi-Saleh,1,0,acled,Explosions/Remote violence,Bajil
2015-05-23,"Explosions/Remote violence event between Operation Restoring Hope and Police Forces of Yemen (2015-2017) Houthi-Saleh in Dhamar, Yemen: On 23 May 2015, coalition airstrikes reportedly targeted the police training centre in Dhamar city.",Operation Restoring Hope,Police Forces of Yemen (2015-2017) Houthi-Saleh,1,0,acled,Explosions/Remote violence,Dhamar
2015-05-23,"Battles event between Popular Resistance and Military Forces of Yemen (2015-2017) Houthi-Saleh in Madghil, Yemen: Clashes reportedly erupted between Houthi-Saleh forces and tribesmen affiliated with the Islah party in the outskirts of Marib city, including in the areas of Al-Jada'an and Al-Salabah areas. The clashes resulted in killing and injuring several people from both sides; unknown fatalities coded as 10 and split across two events.",Popular Resistance,Military Forces of Yemen (2015-2017) Houthi-Saleh,1,5,acled,Battles,Madghil
2015-05-23,"Battles event between Popular Resistance and Military Forces of Yemen (2015-2017) Houthi-Saleh in Suq Sirwah, Yemen: Clashes reportedly erupted between Houthi-Saleh forces and tribesmen affiliated with the Islah party in the outskirts of Marib city, including in the areas of Al-Jada'an and Al-Salabah areas. The clashes resulted in killing and injuring several people from both sides; unknown fatalities coded as 10 and split across two events.",Popular Resistance,Military Forces of Yemen (2015-2017) Houthi-Saleh,1,5,acled,Battles,Suq Sirwah
2015-05-23,"Explosions/Remote violence event between Operation Restoring Hope and Military Forces of Yemen (2015-2017) Houthi-Saleh in Dabwah, Yemen: On 23 May 2015, coalition airstrikes reportedly targeted a House belonging to former president Ali Saleh in Al-Ahmar village, as well as Al-Sawad, Raymah Humaid and Dhabwah military camps in Sanhan district.",Operation Restoring Hope,Military Forces of Yemen (2015-2017) Houthi-Saleh,1,0,acled,Explosions/Remote violence,Dabwah
2015-05-23,"Explosions/Remote violence event between Operation Restoring Hope and Military Forces of Yemen (2015-2017) Houthi-Saleh in Raymat Humayd, Yemen: On 23 May 2015, coalition airstrikes reportedly targeted a House belonging to former president Ali Saleh in Al-Ahmar village, as well as Al-Sawad, Raymah Humaid and Dhabwah military camps in Sanhan district.",Operation Restoring Hope,Military Forces of Yemen (2015-2017) Houthi-Saleh,1,0,acled,Explosions/Remote violence,Raymat Humayd
2015-05-23,"Explosions/Remote violence event between Operation Restoring Hope and Military Forces of Yemen (2015-2017) Houthi-Saleh - Republican Guard in Sawad Military Camp, Yemen: On 23 May 2015, coalition airstrikes reportedly targeted a House belonging to former president Ali Saleh in Al-Ahmar village, as well as Al-Sawad, Raymah Humaid and Dhabwah military camps in Sanhan district.",Operation Restoring Hope,Military Forces of Yemen (2015-2017) Houthi-Saleh - Republican Guard,1,0,acled,Explosions/Remote violence,Sawad Military Camp
2015-05-23,"Battles event between Al Awaliq Tribal Militia (Yemen) and Military Forces of Yemen (2015-2017) Houthi-Saleh in Al Said, Yemen: On May 22 and 23, Awlaki armed tribesmen and Houthi-Saleh forces clashed in As Said and in the outskirts of Ataq city, Shabwah. According to some estimates, the fighting killed at least 28 people, including 17 Huthis and 11 tribesmen. Houthi forces reportedly took control of a military site in Al Said on the second day. Fatalities split across four events.",Al Awaliq Tribal Militia (Yemen),Military Forces of Yemen (2015-2017) Houthi-Saleh,1,7,acled,Battles,Al Said
2015-05-23,"Battles event between Al Awaliq Tribal Militia (Yemen) and Military Forces of Yemen (2015-2017) Houthi-Saleh in Ataq, Yemen: On May 22 and 23, Awlaki armed tribesmen and Houthi-Saleh forces clashed in As Said and in the outskirts of Ataq city, Shabwah. According to some estimates, the fighting killed at least 28 people, including 17 Huthis and 11 tribesmen. Houthi forces reportedly took control of a military site in Al Said on the second day. Fatalities split across four events.",Al Awaliq Tribal Militia (Yemen),Military Forces of Yemen (2015-2017) Houthi-Saleh,1,7,acled,Battles,Ataq
2015-05-23,"Battles event between Military Forces of Yemen (2015-2017) Houthi-Saleh and Military Forces of Yemen (2012-2022) Hadi in Ataq, Yemen: The governor of Shabwah Ahmed Bahaj, affiliated with the Islah party, and two of his escorts were reportedly killed in a car accident in Ataq city, after being ambushed by suspected Houthis.",Military Forces of Yemen (2015-2017) Houthi-Saleh,Military Forces of Yemen (2012-2022) Hadi,1,3,acled,Battles,Ataq
2015-05-23,"Battles event between Military Forces of Yemen (2015-2017) Houthi-Saleh and Popular Resistance in Taizz - Al Jumhuri, Yemen: Clashes reportedly erupted between Houthi-Saleh forces and Islah-affiliated fighters in Al-Jomhory and Houdh Al-Ashraf areas of Taiz city, killing and injuring several people from both sides. Unknown fatalities coded as 10 and spread across two events.",Military Forces of Yemen (2015-2017) Houthi-Saleh,Popular Resistance,1,5,acled,Battles,Taizz - Al Jumhuri
2015-05-23,"Battles event between Military Forces of Yemen (2015-2017) Houthi-Saleh and Popular Resistance in Taizz - Usayfirah, Yemen: Clashes reportedly erupted between Houthi-Saleh forces and Islah-affiliated fighters in Al-Jomhory and Houdh Al-Ashraf areas of Taiz city, killing and injuring several people from both sides. Unknown fatalities coded as 10 and spread across two events.",Military Forces of Yemen (2015-2017) Houthi-Saleh,Popular Resistance,1,5,acled,Battles,Taizz - Usayfirah
2015-05-23,"Violence against civilians event between Fulani Ethnic Militia (Nigeria) and Civilians (Nigeria) in Iorzaa, Nigeria: Fulani herdsmen attack several Logo villages (Iorzaa, Ukura, Gusa, Per and Gafa) on 25/05 or 24/05 (sources conflict on dates) killing between 50 and 100. The attackers also burned homes and farmlands.",Fulani Ethnic Militia (Nigeria),Civilians (Nigeria),1,13,acled,Violence against civilians,Iorzaa
2015-05-23,"Protests event between Protesters (Nigeria) and  in Akure, Nigeria: Employees of an electric provider protest non-payment of salaries 'at the weekend.'",Protesters (Nigeria),,0,0,acled,Protests,Akure
2015-05-23,"Battles event between Military Forces of Myanmar (2011-2016) and KIO/KIA: Kachin Independence Organization/Kachin Independence Army in Mansi, Myanmar: On 23 May 2015, a battle took place between KIAs 12th Battalion troops and a combined force of Myanmar armies 56th and 86th Light Infantry Battalion (LIB) troops at Nam Lim Pa, La Ait Bum and Nam Hpalang Bum in Mansi Township, Kachin state. One KIA officer and 3 soldiers were killed.",Military Forces of Myanmar (2011-2016),KIO/KIA: Kachin Independence Organization/Kachin Independence Army,1,4,acled,Battles,Mansi
2015-05-23,"Explosions/Remote violence event between Military Forces of Yemen (2015-2017) Houthi-Saleh and Operation Restoring Hope in Bani al Harith, Yemen: On 23 May 2015, Yemen anti-aircraft reportedly shot down a Saudi fighter jet in Bani Al-Harith district.",Military Forces of Yemen (2015-2017) Houthi-Saleh,Operation Restoring Hope,1,0,acled,Explosions/Remote violence,Bani al Harith
2015-05-23,"Explosions/Remote violence event between Operation Libya Dawn and Civilians (Libya) in Al-Zaafaran, Libya: On 23 May 2015, Operation Libya Dawn conducted an airstrike on Al-Zaafaran (Sirte, West). Between two to three civilians were killed.",Operation Libya Dawn,Civilians (Libya),1,2,acled,Explosions/Remote violence,Al-Zaafaran
2015-05-23,"Protests event between Protesters (South Africa) and  in Cape Town - Central Business District, South Africa: Activists protest against genetically modified crops and pesticides.",Protesters (South Africa),,0,0,acled,Protests,Cape Town - Central Business District
2015-05-23,"Explosions/Remote violence event between TTP: Tehreek-i-Taliban Pakistan and Military Forces of Pakistan (2013-2018) in Datta Khel, Pakistan: 3 Security personnel were killed as their vehicle on regular patrol drove over an IED planted by the TTP in Dattakhel Waziristan",TTP: Tehreek-i-Taliban Pakistan,Military Forces of Pakistan (2013-2018),1,3,acled,Explosions/Remote violence,Datta Khel
2015-05-23,"Battles event between Dur Mohammad Pato Communal Militia (Pakistan) and Dur Mohammad Pato Communal Militia (Pakistan) in Khairpur, Pakistan: A clash broke out between two groups in Dur Mohammad Pato village in the Khairpur area over a land dispute. Police dispersed the clashing parties, injuring several people on May 23.",Dur Mohammad Pato Communal Militia (Pakistan),Dur Mohammad Pato Communal Militia (Pakistan),1,0,acled,Battles,Khairpur
2015-05-23,"Protests event between Protesters (Pakistan) and  in Khairpur, Pakistan: Residents of Khairpur protested against Sindh police's harsh treatment of Dr Zulfikar Mirza and rallied in support of him",Protesters (Pakistan),,0,0,acled,Protests,Khairpur
2015-05-23,"Protests event between Protesters (Pakistan) and  in Khairpur, Pakistan: After police dispersed a clash at Dur Mohammad Pato village in the Khairpur area, villagers protested against police officials for their actions and demanded the release of a man they arrested on May 23.",Protesters (Pakistan),,0,0,acled,Protests,Khairpur
2015-05-23,"Riots event between Rioters (Bangladesh) and Police Forces of Bangladesh (2009-2024) in Dhaka, Bangladesh: During the election of the Federation of Bangladesh Chambers of Commerce and Industry (FBCCI) on Saturday, clashes between supporters of differnet candidates and between supporters and the police erupted in Dhaka.",Rioters (Bangladesh),Police Forces of Bangladesh (2009-2024),0,0,acled,Riots,Dhaka
2015-05-23,"Violence against civilians event between Islamic State West Africa Province (ISWAP) and Civilians (Nigeria) in Kamburo Karaga, Nigeria: Boko Haram attacks Kamburo Karaga, killing 10 residents. Date vague - the attack took place 'at the weekend.'",Islamic State West Africa Province (ISWAP),Civilians (Nigeria),1,10,acled,Violence against civilians,Kamburo Karaga
2015-05-23,"Battles event between Military Forces of Yemen (2015-2017) Houthi-Saleh and Military Forces of Saudi Arabia (2015-) in Al Jabiri, Saudi Arabia: Houthi forces reportedly took control of several Saudi military sites after shelling them in Al-Dod, Al-Jabry and Al-Dukhan mountains of Jazan governorate; the shelling resulted in killing and injuring several soldiers of the Saudi army. Unknown fatalities coded as 10 and spread over three events.",Military Forces of Yemen (2015-2017) Houthi-Saleh,Military Forces of Saudi Arabia (2015-),1,3,acled,Battles,Al Jabiri
2015-05-23,"Explosions/Remote violence event between Operation Restoring Hope and  in Harad, Yemen: On 23 May 2015, Saudi artillery reportedly targeted several areas of Harad district.",Operation Restoring Hope,,1,0,acled,Explosions/Remote violence,Harad
2015-05-23,"Battles event between Military Forces of Yemen (2015-2017) Houthi-Saleh and Operation Restoring Hope in Jabal ad Dud Frontline, Yemen: Houthi forces reportedly took control of several Saudi military sites after shelling them in Al-Dod, Al-Jabry and Al-Dukhan mountains of Jazan governorate; the shelling resulted in killing and injuring several soldiers of the Saudi army. Unknown fatalities coded as 10 and spread over three events. *ACLED defaults to coding the event on the Yemeni side when the source describes a large area along the Saudi-Yemeni border.",Military Forces of Yemen (2015-2017) Houthi-Saleh,Operation Restoring Hope,1,3,acled,Battles,Jabal ad Dud Frontline
2015-05-23,"Battles event between Military Forces of Yemen (2015-2017) Houthi-Saleh and Operation Restoring Hope in Jabal ad Dukhan, Yemen: Houthi forces reportedly took control of several Saudi military sites after shelling them in Al-Dod, Al-Jabry and Al-Dukhan mountains of Jazan governorate; the shelling resulted in killing and injuring several soldiers of the Saudi army. Unknown fatalities coded as 10 and spread over three events. *ACLED defaults to coding the event on the Yemeni side when the source describes a large area along the Saudi-Yemeni border.",Military Forces of Yemen (2015-2017) Houthi-Saleh,Operation Restoring Hope,1,4,acled,Battles,Jabal ad Dukhan
2015-05-23,"Violence against civilians event between Police Forces of Indonesia (2014-2024) and Civilians (Indonesia) in Wamena, Indonesia: On 23 May 2015, five men who were detained were released to their home villages in Wamena town (Jayawijaya regency, Papua province), and experienced torture and ill-treatment while in detention, including being shot with firearms, shot with teargas bullets, having nails hammered into forearms, sexual assault and beating with a variety of tools including rattan canes, batons, knuckleduster gloves, rifle butts and wooden beams.",Police Forces of Indonesia (2014-2024),Civilians (Indonesia),1,0,acled,Violence against civilians,Wamena
2015-05-23,"Violence against civilians event between Unidentified Armed Group (Somalia) and Civilians (Somalia) in Mogadishu - Hodan, Somalia: Unidentified armed men driving an ambulance opened gunfire at a car transporting three SNG MPs in Shaqaalaha junction area of Hodan District in the afternoon of 23/05. One MP and two bodyguards were killed while another MP was wounded in the attack. The attackers managed to escape from the scene, and the reason for the attack remains unclear yet though al Shabaab claimed the responsibility of the attack. However, the spokesman for the Internal Security Ministry in a press conference in Mogadishu on 24/05 stated that SNG forces driving an armed military vehicle was behind the assassination of the MP in Shaqaalaha area on the 23/05. The spokesman stated that the attack took place irresponsibly as the vehicle transporting the MPs refused to let the armed vehicle to overtake it, which led the military forces vehicle to block the car of the MPs and soldiers on board opened gunfire at the car.",Unidentified Armed Group (Somalia),Civilians (Somalia),1,3,acled,Violence against civilians,Mogadishu - Hodan
