text,label,date,source,tags,confidence,tag_count,no_tags
Type 1 conflict between Government of Mali and AQIM in Mali,1,2009-01-01,ucdp_api,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0,True
Interaction between RUS and UKR with EventCode 010,0,2023-01-02,gdelt_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.4,0,True
Interaction between JPN and KOR with EventCode 020,0,2023-01-04,gdelt_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5,0,True
Interaction between FRA and ITA with EventCode 080,0,2023-01-05,gdelt_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.65,0,True
Interaction between DEU and ESP with EventCode 040,0,2023-01-06,gdelt_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.55,0,True
World Bank funds road project in Botswana,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9,0,True
UN hosts development summit on climate change,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9,0,True
Costa Rica launches new solar energy program,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9,0,True
Iceland celebrates 20 years of continuous peace,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.95,0,True
Japan and South Korea sign trade agreement,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8,0,True
UNESCO designates new World Heritage site in Vietnam,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9,0,True
Norway increases funding for global education initiatives,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.85,0,True
New Zealand and Australia cooperate on marine conservation,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9,0,True
Singapore hosts international technology conference,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8,0,True
Canada and EU finalize terms of free trade agreement,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.85,0,True
African Union announces infrastructure development plan,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.75,0,True
Indonesia and Malaysia conduct joint cultural festival,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8,0,True
Switzerland mediates diplomatic talks between rival nations,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.7,0,True
Brazil inaugurates new scientific research facility,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.85,0,True
Denmark achieves 50% renewable energy milestone,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9,0,True
Ghana launches nationwide vaccination campaign,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.85,0,True
Argentina and Chile resolve border dispute through peaceful negotiation,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.75,0,True
Finland invests in early childhood education reform,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.9,0,True
Luxembourg hosts international finance summit,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8,0,True
Thailand opens new cultural exchange center,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.85,0,True
South Africa and Botswana sign water management treaty,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8,0,True
Portugal unveils offshore wind farm initiative,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.85,0,True
Estonia launches e-residency program for entrepreneurs,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8,0,True
Uruguay legalizes cannabis for medical research,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.75,0,True
Ireland announces increased foreign aid budget,0,,synthetic_peaceful,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.85,0,True
